Price,Currency,URL,Seller,Location,Size,Floor,Year,Property Type,Phone,Timestamp
73000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171619164922423&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Дядо Дянко",75,5,2010,Продава 2-СТАЕН,0887710070,2024-07-12 09:48:42
62000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167154311042045&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Център",77,N/A,2025,Продава 2-СТАЕН,0887602324,2024-07-12 09:48:42
68800,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167154293533883&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Център",86,N/A,2025,Продава 2-СТАЕН,0887602324,2024-07-12 09:48:42
90000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c172000076955236&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Младост",74,N/A,N/A,Продава 3-СТАЕН,0886270697,2024-07-12 09:48:42
110000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c172068104596939&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Център",98,N/A,1980,Продава 3-СТАЕН,0884119159,2024-07-12 09:48:42
65000,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171880101962996&slink=auysd2&f1=1,sdelka.imot.bg,"град Габрово, Център",58,5,N/A,Продава 3-СТАЕН,0894559910,2024-07-12 09:48:42
130000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171644984903300&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Център",101,N/A,N/A,Продава 3-СТАЕН,0882702206,2024-07-12 09:48:42
156000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171741739613743&slink=auysd2&f1=1,monolit-bg.imot.bg,"град Габрово, Център",80,N/A,N/A,Продава 3-СТАЕН,0885118119,2024-07-12 09:48:42
160000,лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171257029284373&slink=auysd2&f1=1,sdelka.imot.bg,"град Габрово, Център",104,10,N/A,Продава 3-СТАЕН,0896840926,2024-07-12 09:48:42
125999,EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1d172070246503553&slink=auysd2&f1=1,regent.imot.bg,"град Габрово, Център",162,3,2023,Продава 4-СТАЕН,0886886888,2024-07-12 09:48:42
